recordId,publicSlug,titleRu,field,currentStatus,valueToConfirm,note
work_af03f7d7a3682c64,9-maya-af03f7d7,9 мая,artistInventoryNumber,needs_owner_input,,"Укажите настоящий авторский или музейный номер, если он существует и может быть опубликован."
work_af03f7d7a3682c64,9-maya-af03f7d7,9 мая,inscriptions,not_visible,,"Укажите подпись, дату и другие надписи на работе или подтвердите их отсутствие."
work_af03f7d7a3682c64,9-maya-af03f7d7,9 мая,condition,not_visible,,"Добавьте сведения о состоянии, если они известны."
work_af03f7d7a3682c64,9-maya-af03f7d7,9 мая,currentOwner,needs_owner_input,,"Укажите владельца, если это можно публиковать."
work_af03f7d7a3682c64,9-maya-af03f7d7,9 мая,currentLocation,needs_owner_input,,"Укажите местонахождение, если это можно публиковать."
work_af03f7d7a3682c64,9-maya-af03f7d7,9 мая,exhibitions,needs_owner_input,,Добавьте выставки или подтвердите их отсутствие.
work_af03f7d7a3682c64,9-maya-af03f7d7,9 мая,bibliography,needs_owner_input,,Добавьте публикации или подтвердите их отсутствие.
work_af03f7d7a3682c64,9-maya-af03f7d7,9 мая,workCopyright,needs_owner_input,,Подтвердите правообладателя произведения.
work_af03f7d7a3682c64,9-maya-af03f7d7,9 мая,imageCopyright,needs_owner_input,,Подтвердите правообладателя репродукции.
work_e457ddd6b20a7963,aprel-tavla-e457ddd6,Апрель. Тавла,artistInventoryNumber,needs_owner_input,,"Укажите настоящий авторский или музейный номер, если он существует и может быть опубликован."
work_e457ddd6b20a7963,aprel-tavla-e457ddd6,Апрель. Тавла,inscriptions,not_visible,,"Укажите подпись, дату и другие надписи на работе или подтвердите их отсутствие."
work_e457ddd6b20a7963,aprel-tavla-e457ddd6,Апрель. Тавла,condition,not_visible,,"Добавьте сведения о состоянии, если они известны."
work_e457ddd6b20a7963,aprel-tavla-e457ddd6,Апрель. Тавла,currentOwner,needs_owner_input,,"Укажите владельца, если это можно публиковать."
work_e457ddd6b20a7963,aprel-tavla-e457ddd6,Апрель. Тавла,currentLocation,needs_owner_input,,"Укажите местонахождение, если это можно публиковать."
work_e457ddd6b20a7963,aprel-tavla-e457ddd6,Апрель. Тавла,exhibitions,needs_owner_input,,Добавьте выставки или подтвердите их отсутствие.
work_e457ddd6b20a7963,aprel-tavla-e457ddd6,Апрель. Тавла,bibliography,needs_owner_input,,Добавьте публикации или подтвердите их отсутствие.
work_e457ddd6b20a7963,aprel-tavla-e457ddd6,Апрель. Тавла,workCopyright,needs_owner_input,,Подтвердите правообладателя произведения.
work_e457ddd6b20a7963,aprel-tavla-e457ddd6,Апрель. Тавла,imageCopyright,needs_owner_input,,Подтвердите правообладателя репродукции.
work_657b0b8711a927df,babe-leto-657b0b87,Бабье лето,artistInventoryNumber,needs_owner_input,,"Укажите настоящий авторский или музейный номер, если он существует и может быть опубликован."
work_657b0b8711a927df,babe-leto-657b0b87,Бабье лето,inscriptions,not_visible,,"Укажите подпись, дату и другие надписи на работе или подтвердите их отсутствие."
work_657b0b8711a927df,babe-leto-657b0b87,Бабье лето,condition,not_visible,,"Добавьте сведения о состоянии, если они известны."
work_657b0b8711a927df,babe-leto-657b0b87,Бабье лето,currentOwner,needs_owner_input,,"Укажите владельца, если это можно публиковать."
work_657b0b8711a927df,babe-leto-657b0b87,Бабье лето,currentLocation,needs_owner_input,,"Укажите местонахождение, если это можно публиковать."
work_657b0b8711a927df,babe-leto-657b0b87,Бабье лето,exhibitions,needs_owner_input,,Добавьте выставки или подтвердите их отсутствие.
work_657b0b8711a927df,babe-leto-657b0b87,Бабье лето,bibliography,needs_owner_input,,Добавьте публикации или подтвердите их отсутствие.
work_657b0b8711a927df,babe-leto-657b0b87,Бабье лето,workCopyright,needs_owner_input,,Подтвердите правообладателя произведения.
work_657b0b8711a927df,babe-leto-657b0b87,Бабье лето,imageCopyright,needs_owner_input,,Подтвердите правообладателя репродукции.
